팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,순위,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,순위,G,SBA,SB,CS,SB%,OOB,PKO
LG,0.278,144,5713,4919,788,1366,219,19,130,2013,732,63,59,1,3.55,144,83,57,41,57,0.593,1290 1/3,1185,102,450,93,1339,554,509,1.27,1,144,86,4,3871,1325,100,0.984,11,96,39,28.9,1,144,250,186,64,74.4,45,14
삼성,0.271,144,5671,4899,775,1330,241,18,161,2090,728,67,55,2,3.63,144,75,65,36,102,0.536,1283 1/3,1164,115,510,78,1193,576,517,1.3,2,144,106,10,3850,1398,139,0.98,4,110,46,29.5,2,144,187,144,43,77.0,58,8
롯데,0.267,144,5682,4944,676,1318,242,26,75,1837,629,72,45,3,3.79,144,85,56,42,77,0.603,1279 1/3,1236,91,491,62,1080,584,539,1.35,3,144,120,12,3840,1363,123,0.977,12,103,43,29.5,3,144,176,129,47,73.3,40,3
한화,0.266,144,5547,4892,689,1303,250,16,116,1933,643,79,46,4,4.09,144,71,68,37,60,0.511,1278 1/3,1362,112,433,58,1067,657,581,1.4,3,144,111,5,3840,1380,117,0.979,13,104,23,18.1,4,144,170,121,49,71.2,49,7
두산,0.262,144,5581,4952,647,1298,232,31,102,1898,592,53,42,5,4.12,144,74,68,25,76,0.521,1268 2/3,1257,132,455,70,1048,647,581,1.35,5,144,92,10,3838,1438,137,0.983,7,95,23,19.5,5,144,139,101,38,72.7,50,15
NC,0.26,144,5570,4816,732,1254,221,31,128,1921,685,62,52,6,4.3,144,61,77,29,69,0.442,1280,1227,109,542,99,1054,686,612,1.38,6,144,103,5,3835,1458,105,0.981,6,128,32,20.0,6,144,130,98,32,75.4,53,3
KIA,0.258,144,5619,4944,668,1276,232,16,144,1972,624,43,39,7,4.66,144,65,75,30,82,0.464,1274 2/3,1316,110,511,84,1058,734,660,1.43,7,144,123,10,3824,1422,127,0.977,8,111,41,27.0,7,144,119,91,28,76.5,51,2
SSG,0.256,144,5517,4875,609,1249,175,14,127,1833,578,52,37,8,4.75,144,66,72,36,69,0.478,1280,1351,128,560,73,1173,749,676,1.49,8,144,116,5,3810,1381,119,0.978,7,80,36,31.0,8,144,98,83,15,84.7,38,5
KT,0.253,144,5588,4845,648,1228,214,17,104,1788,613,65,43,9,4.82,144,71,67,39,103,0.514,1270,1279,146,621,97,1075,766,680,1.5,9,144,119,4,3807,1317,111,0.977,13,107,53,33.1,9,144,99,77,22,77.8,44,7
키움,0.244,144,5508,4935,581,1202,217,20,104,1771,540,38,33,10,5.39,144,47,93,31,55,0.336,1269,1447,146,550,92,937,860,760,1.57,10,144,87,8,3806,1389,122,0.984,12,107,26,19.5,10,144,72,48,24,66.7,40,9
